,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
474,475,FCM,Professor Adjunto,Em Exercício,Validada,84.12,64.61,0.0,19.51,0.0
475,476,POLI,Professor Adjunto,Em Exercício,Validada,69.5,60.92,8.58,0.0,0.0
476,477,Caruaru,Professor Assistente,Em Exercício,Validada,79.97,30.2,0.0,0.53,49.24
479,480,Reitoria,Professor Associado,Em Exercício,Validada,173.94,31.39,34.84,58.37,49.34
480,481,FOP,Professor Adjunto,Em Exercício,Validada,46.96,23.92,3.01,2.86,17.17
482,483,ICB,Professor Adjunto,Em Exercício,Validada,0.0,12.0,0.0,0.0,0.0
483,484,Reitoria,Professor Adjunto,Em Exercício,Validada,126.48,10.06,8.57,7.43,100.42
484,485,FCAP,Professor Adjunto,Em Exercício,Rejeitada,156.12,30.52,15.09,10.74,99.77
485,486,FCM,Professor Adjunto,Em Exercício,Validada,85.11,79.56,4.48,0.0,1.07
486,487,FCM,Professor Auxiliar,Em Exercício,Validada,69.29,59.39,6.75,2.08,1.07
487,488,FOP,Professor Adjunto,Em Exercício,Validada,51.4,42.0,0.0,0.0,9.4
488,489,POLI,Professor Adjunto,Afastamento Parcial (6 meses),Validada,37.98,21.04,0.0,0.0,4.28
490,491,FOP,Professor Adjunto,Em Exercício,Validada,263.0,133.4,65.88,43.26,20.46
491,492,Petrolina,Professor Adjunto,Em Exercício,Validada,113.2,50.77,48.61,2.18,11.64
492,493,FCM,Professor Adjunto,Em Exercício,Validada,124.3,74.37,42.99,6.94,0.0
493,494,FCM,Professor Associado,Afastamento Total,Validada,6.5,,,,
494,495,Garanhuns,Professor Adjunto,Em Exercício,Validada,241.86,81.11,75.99,0.0,84.76
495,496,FCM,Professor Adjunto,Em Exercício,Validada,226.04,126.06,37.88,30.89,31.21
496,497,Petrolina,Professor Assistente,Em Exercício,Validada,91.79,63.24,18.92,0.0,9.63
497,498,Mata Sul,Professor Assistente,Afastamento Total,Validada,6.5,,,,
498,499,FENSG,Professor Associado,Em Exercício,Validada,247.32,126.54,81.28,6.74,32.76
499,500,FENSG,Professor Associado,Em Exercício,Validada,360.36,155.58,70.41,54.9,79.47
500,501,POLI,Professor Adjunto,Em Exercício,Validada,164.1,65.34,89.84,1.59,7.33
501,502,ESEF,Professor Associado,Em Exercício,Validada,205.89,51.69,65.87,0.0,88.33
502,503,POLI,Professor Associado,Em Exercício,Validada,270.17,122.1,111.08,6.72,30.27
503,504,ICB,Professor Adjunto,Em Exercício,Validada,174.57,53.57,43.81,13.93,63.26
