Docente,Cargo,Nota_RAD,Unidade,Ano
7403fef281f96baae423e50b18b1b0d87fc8e189889f44647c3a091da505c8fa,Professor Assistente,46.63,Mata Norte,2017
af852d443baa3e056edf87dce3aa0d4a8eacefc06a30976032144fb64b6a72c2,Professor Assistente,13.52,Garanhuns,2017
2fe86dfd4d09fcab0fdf28962c2c75b1802e1302a89b61412196de1c924567c1,Professor Auxiliar,325.06,FCM,2017
1bae44118bac81693e837614c58e63c07e0286660229bd9b49bcf912576b6d5c,Professor Adjunto,,FCM,2017
62fc965210c2908953834b3442b8fd4e966222f4a6f30a7495eb286de7b1c9cb,Professor Assistente,,Garanhuns,2017
36d5c6283b9ab92e6be524763e2591de66ca0ff0d80aebe4a4560e6c94ba5ead,Professor Assistente,,FCM,2017
778cc21b038de0a66f2cf926290c554c6d8f18af255d9fc1722a19cf4af175d3,Professor Adjunto,452.34,FCM,2017
8af6f4a8ae5e55e7e2de13215c31e78e43aa26da4b5d277a9a539dc55f626987,Professor Assistente,,Caruaru,2017
78b3a0f41225cde7adec3ab55474cbaf1ac146845c26a679851c6c3f0103081c,Professor Assistente,130.42,Petrolina,2017
23a2389d78a5a4868ee4cb0f91b8d90bd1ea51be115c46264484dfb49f72932c,Professor Adjunto,,Garanhuns,2017
1444b947c0eefc4a07fb5be6e186e815723c56dffd7711fafc8d09ffda28b1d9,Professor Adjunto,69.89,ICB,2017
f478525457dcd5ec6223e52bd3df32d1edb600275e18d6435cdeb3ef2294e8de,Professor Assistente,,ICB,2017
7fb430f19b2cf0fbaf01b4a8cb96a635358ac0a71fa28f0d67183fd810393982,Professor Assistente,44.22,Garanhuns,2017
c17ec73c802422d05391fbab496c2c62d81885e435bb313ce4446e049809c675,Professor Assistente,40.7,FCM,2017
ea4ed8ca26c6326e4c4895809faab944e74d0d670d1d273111f91b0a3acd376d,Professor Assistente,,Garanhuns,2017
535dbd61c8503f28e696d67f1f682de35bffbb9e10b6f701876233e5b31a2484,Professor Assistente,166.51,FCAP,2017
89999daa9d362b62dcb27aac6fc7564257860419d2c69d37eb1914babf9477fb,Professor Assistente,,FCM,2017
726b564aa662b0f5635e7070fc47333164b197990244ad273153bf33b7ae76ad,Professor Assistente,,FCM,2017
97fd7748dbaf66cf068bec498cf77f1fe2341383cfe3fbb5581b450dbccd12e8,Professor Adjunto,205.04,Mata Norte,2017
97b3cb22745e89d7b6da0c45a242eeb35207ee392b7560de28b251565bdb375d,Professor Adjunto,315.23,Reitoria,2017
20a2cc167b26b1ca14bec18fb70912552362a27c57aa5b2655a1a5a7833307ff,Professor Auxiliar,,Garanhuns,2017
b76d1ee289db711f63f545daa39765baebbf8c35f9e24df5fa3f1299343f0dcf,Professor Adjunto,,Garanhuns,2017
6352a54801726554e812007a94389ed8718eea9d9c9849454a0d08ee6bbffb91,Professor Auxiliar,,Petrolina,2017
95ae52c989635279ad70b0f7ff934c9f73b762c4fc6bf73d94aa6e59385af4f7,Professor Assistente,,FCM,2017
d277d10075523915b2871ec6e2cc0aae2b1ef734eb12a6dba4be0da3f84a0d37,Professor Adjunto,114.32,FENSG,2017
35e52dab2a1b9b764f186c23b796aed9a5f80380ebd6b80d8ca78fe1e191345e,Professor Adjunto,128.82,ESEF,2017
4c0338b6ea354d440b4c1204654f8a80afd81566bbfc63e774c7ac1df9af7d8b,Professor Adjunto,,FCM,2017
ed25b8e61ffe5d77e88e859645b9f2d56b6db7cd247c925ad2976ed600fce110,Professor Adjunto,185.87,Reitoria,2017
604371bb4d7603e6a1cf465d024ade82e8994e39b20219fc2d16778fa1896771,Professor Adjunto,,FOP,2017
02b6ac8f1027541ae40b3fc7f37e4ec87b1cab2e14a898d12543d7f494ed05e4,Professor Adjunto,189.61,FOP,2017
18bf5e7af1cb48da60d4b5ee63b236e696569c3d845d3ae0958ac92e45798d81,Professor Adjunto,,FCM,2017
dea3ec385de7cb49c548d82e8a442dd92144002b151523166cd39ff3780118ee,Professor Assistente,197.6,Mata Norte,2017
